Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière des consommations totales (W);Puissance moyenne journalière des consommations HTA télérelevées à courbe de charge (W);Puissance moyenne journalière des consommations totales profilées (W);Puissance moyenne journalière des consommations HTA profilées (W);Puissance moyenne journalière des consommations PME-PMI profilées (W);Puissance moyenne journalière des consommations professionnelles profilées (W);Puissance moyenne journalière des consommations résidentielles profilées (W);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des consommations HTA totales (W);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2017-03-24;3;43387249000.0;1177064000.0;2464724599.0;45552246518.0;12380479955.0;33171766563.0;1724140239.0;6048689455.0;5650552727.0;19748384141.0;6200895775.0;5751377049.0;449518727.0;426196877.0;117651.0;9.5;9.4;2671385576.0;667739391.0;394109657.0;14104620194.0;24;2860005267.0
2017-03-26;3;33263242152.0;1188863326.0;2027104223.0;35751159104.0;7924275334.0;27826883771.0;926315544.0;4053816082.0;4024566095.0;18822186050.0;6042291513.0;5574557920.0;467733593.0;444740023.0;117651.0;10.9;9.7;2118673630.0;1102777675.0;338407011.0;8850590878.0;73;2818423795.0
2017-04-04;4;37896454563.0;814640250.0;2069559334.0;38522163737.0;12507464399.0;26014699338.0;1596343898.0;5483351726.0;4605581936.0;14329421778.0;3857656006.0;3305264472.0;552391533.0;532726368.0;118220.0;12.8;10.7;1433600403.0;1159229611.0;347747246.0;14103808297.0;55;1264496437.0
2017-04-07;4;38005310021.0;567150625.0;2078094131.0;38506890958.0;12099948083.0;26406942875.0;1495498783.0;5063075483.0;4619543583.0;15228825026.0;3494148209.0;2941551590.0;552596619.0;532923099.0;118220.0;12.0;11.0;953075757.0;1308135960.0;347322516.0;13595446866.0;99;1232580507.0
2017-04-13;4;36240133354.0;727053146.0;1956128881.0;36840745560.0;12411255496.0;24429490064.0;1501387868.0;4989629443.0;4317572367.0;13620900386.0;3612918932.0;3036439653.0;576479280.0;556365150.0;118421.0;13.2;11.8;1081098410.0;1323215309.0;329124699.0;13912643364.0;82;1208388034.0
2017-04-17;4;31049182333.0;1435262958.0;1863477318.0;32233442523.0;8180447979.0;24052994544.0;1387748017.0;3504823813.0;3482979942.0;15677442772.0;4777910243.0;4184382090.0;593528152.0;573722806.0;118421.0;12.1;12.3;2308954042.0;1304064306.0;294909777.0;9568195996.0;64;1164802116.0
2017-04-21;4;39848626750.0;498227583.0;2206425854.0;40186040364.0;12188584107.0;27997456257.0;1486738895.0;5019108957.0;4795105715.0;16696502689.0;3409853822.0;2815392195.0;594461628.0;574378891.0;139799.0;10.2;12.9;915649826.0;1395509266.0;367786770.0;13675323002.0;97;1098634188.0
2017-04-28;4;42758941083.0;658247792.0;2417635908.0;42847752476.0;12237111716.0;30610640760.0;1588698641.0;5288805763.0;5158040806.0;18575095551.0;3563776113.0;2980781056.0;582995057.0;563162508.0;139757.0;8.7;13.8;1197675695.0;1232053396.0;399081019.0;13825810357.0;56;1133940751.0
2017-05-04;5;39145300542.0;430352792.0;2156070331.0;39594079883.0;12601623349.0;26992456534.0;1452964732.0;5272761169.0;4646450229.0;15620280403.0;3379682245.0;2885892354.0;493789891.0;473406552.0;138175.0;11.4;14.6;1115213868.0;1039604510.0;344479781.0;14054588081.0;46;1224719000.0
2017-05-07;5;30343931854.0;1626824917.0;1812597686.0;31589739236.0;7719305003.0;23870434233.0;761005326.0;3565327219.0;3529525263.0;16014576425.0;4972822463.0;4460738271.0;512084192.0;491893345.0;161613.0;12.8;14.9;2466220236.0;1159087838.0;287592479.0;8480310329.0;41;1347337931.0
2017-05-12;5;34117569813.0;1121498833.0;1815505917.0;35535898614.0;12169896443.0;23366002171.0;1426321993.0;4895953877.0;4270334134.0;12773392167.0;4635747506.0;4147432451.0;488315055.0;468270172.0;165207.0;14.8;15.5;2250335000.0;1045950540.0;280413955.0;13596218436.0;34;1339198384.0
